"repo","private","default_branch","updated_at_utc","readiness_tier","notes"
"k-apps-io/.github","false","main","2026-02-22T20:38:58Z","wave-1","active repo"
"k-apps-io/agent-skills","true","main","2026-02-22T20:04:30Z","wave-1","active repo"
"k-apps-io/mongoose","true","main","2025-12-13T18:53:55Z","wave-1","active repo"
"k-apps-io/p3-model","true","main","2023-05-06T16:03:50Z","wave-3","legacy or low activity"
"k-apps-io/ok-agent-openai-ts","true","main","2025-11-24T19:33:07Z","wave-1","active repo"
"k-apps-io/ok-agent-ts","true","main","2025-11-19T19:50:10Z","wave-1","active repo"
"k-apps-io/ok-deploy","true","main","2025-09-17T13:33:40Z","wave-1","active repo"
"k-apps-io/ok-model","true","main","2025-09-08T10:57:02Z","wave-1","active repo"
"k-apps-io/ok-ecs-node","true","main","2025-09-08T10:54:05Z","wave-1","active repo"
"k-apps-io/ok-api","true","main","2025-09-08T10:52:11Z","wave-1","active repo"
"k-apps-io/ok-cli","true","main","2025-09-07T02:27:25Z","wave-1","active repo"
"k-apps-io/llm-dsl","false","main","2025-08-21T19:38:54Z","wave-1","active repo"
"k-apps-io/llm-dsl-anthropic","true","main","2025-08-21T19:43:36Z","wave-1","active repo"
"k-apps-io/llm-dsl-chatgpt","false","main","2025-08-21T19:49:48Z","wave-1","active repo"
"k-apps-io/ok-agent-template-ts","true","main","2025-08-18T03:01:19Z","wave-1","active repo"
"k-apps-io/ok-agent-openai-code","true","main","2025-08-18T01:26:39Z","wave-1","active repo"
"k-apps-io/ok-agent-openai-ts-bak","true","","2025-08-17T22:43:25Z","wave-3-blocked","missing default branch"
"k-apps-io/ok-agent-template-py","true","","2025-08-17T22:51:51Z","wave-3-blocked","missing default branch"
"k-apps-io/ok-agent","true","main","2025-06-15T21:54:44Z","wave-1","active repo"
"k-apps-io/llm-dsl-mongo","true","main","2025-05-13T16:30:36Z","wave-1","active repo"
"k-apps-io/paas","true","main","2025-04-11T20:00:01Z","wave-1","active repo"
"k-apps-io/p3-api","true","main","2024-12-16T00:16:47Z","wave-2","moderate activity"
"k-apps-io/p3-mobile","true","main","2023-05-08T16:05:07Z","wave-3","legacy or low activity"
"k-apps-io/mongo","true","main","2023-05-05T18:21:58Z","wave-3","legacy or low activity"
"k-apps-io/p3-tasks","true","main","2024-10-03T01:41:07Z","wave-2","moderate activity"
"k-apps-io/rpg-api","true","main","2024-11-10T18:25:30Z","wave-2","moderate activity"
"k-apps-io/rpg-web-app","true","main","2024-11-10T18:23:17Z","wave-2","moderate activity"
"k-apps-io/rpg-model","true","main","2024-11-10T04:45:49Z","wave-2","moderate activity"
"k-apps-io/capacitor-voice-stream","true","main","2024-10-20T12:22:58Z","wave-2","moderate activity"
"k-apps-io/p3-web-public","true","main","2024-10-11T02:04:44Z","wave-2","moderate activity"
"k-apps-io/p3-context","true","main","2023-05-07T23:37:42Z","wave-3","legacy or low activity"
"k-apps-io/admin-web-client","true","main","2024-09-28T04:01:32Z","wave-2","moderate activity"
"k-apps-io/admin-api","true","main","2024-09-28T04:01:10Z","wave-2","moderate activity"
"k-apps-io/devan","true","","2024-09-05T02:40:04Z","wave-3-blocked","missing default branch"
"k-apps-io/p3-admin-api","true","main","2024-08-25T01:30:46Z","wave-2","moderate activity"
"k-apps-io/express","true","main","2023-05-06T18:17:56Z","wave-3","legacy or low activity"
"k-apps-io/context","true","main","2023-05-08T13:31:50Z","wave-3","legacy or low activity"
"k-apps-io/p3-web","true","main","2024-05-31T21:46:04Z","wave-2","moderate activity"
"k-apps-io/openfoodfacts-nodejs","false","develop","2024-03-04T12:59:51Z","wave-2","moderate activity"
"k-apps-io/llm-dsl-demo-api","true","main","2023-11-04T19:19:00Z","wave-3","legacy or low activity"
"k-apps-io/template-typescript-package","true","main","2023-10-28T03:01:23Z","wave-3","legacy or low activity"
"k-apps-io/apps-api","true","main","2023-08-29T23:58:51Z","wave-3","legacy or low activity"
"k-apps-io/apps-web","true","main","2023-08-29T23:58:16Z","wave-3","legacy or low activity"
"k-apps-io/push-notification","true","main","2023-07-01T21:16:57Z","wave-3","legacy or low activity"
"k-apps-io/template-web","true","main","2023-06-05T20:00:47Z","wave-3","legacy or low activity"
"k-apps-io/template-mobile","true","main","2023-05-08T16:04:39Z","wave-3","legacy or low activity"
"k-apps-io/template-context","true","main","2023-05-07T23:37:16Z","wave-3","legacy or low activity"
"k-apps-io/template-express","true","main","2023-05-06T18:17:17Z","wave-3","legacy or low activity"
"k-apps-io/template-mongo","true","main","2023-05-05T19:26:50Z","wave-3","legacy or low activity"
